horizon,n_features,r2,dropped
48,15,0.15199250679431675,"is_weekend, no2, wind_speed, temperature, so2, aqi_lag_48h, aqi_rolling_24h, co, hour, rolling_30day_avg, aqi_change_rate"
48,14,0.16188398342662103,"pm2_5, is_weekend, no2, wind_speed, temperature, so2, aqi_lag_48h, aqi_rolling_24h, co, hour, rolling_30day_avg, aqi_change_rate"
48,13,0.1613859148772887,"pm2_5_lag_48h, pm2_5, is_weekend, no2, wind_speed, temperature, so2, aqi_lag_48h, aqi_rolling_24h, co, hour, rolling_30day_avg, aqi_change_rate"
48,12,0.15489127361053534,"pressure, pm2_5_lag_48h, pm2_5, is_weekend, no2, wind_speed, temperature, so2, aqi_lag_48h, aqi_rolling_24h, co, hour, rolling_30day_avg, aqi_change_rate"
48,11,0.15490564224864467,"pm10, pressure, pm2_5_lag_48h, pm2_5, is_weekend, no2, wind_speed, temperature, so2, aqi_lag_48h, aqi_rolling_24h, co, hour, rolling_30day_avg, aqi_change_rate"
48,10,0.15285786186769723,"pm2_5_lag_72h, pm10, pressure, pm2_5_lag_48h, pm2_5, is_weekend, no2, wind_speed, temperature, so2, aqi_lag_48h, aqi_rolling_24h, co, hour, rolling_30day_avg, aqi_change_rate"
48,9,0.15720983907358443,"o3, pm2_5_lag_72h, pm10, pressure, pm2_5_lag_48h, pm2_5, is_weekend, no2, wind_speed, temperature, so2, aqi_lag_48h, aqi_rolling_24h, co, hour, rolling_30day_avg, aqi_change_rate"
48,8,0.15597333186918172,"aqi_rolling_6h, o3, pm2_5_lag_72h, pm10, pressure, pm2_5_lag_48h, pm2_5, is_weekend, no2, wind_speed, temperature, so2, aqi_lag_48h, aqi_rolling_24h, co, hour, rolling_30day_avg, aqi_change_rate"
48,7,0.16060667502894566,"rolling_30day_std, aqi_rolling_6h, o3, pm2_5_lag_72h, pm10, pressure, pm2_5_lag_48h, pm2_5, is_weekend, no2, wind_speed, temperature, so2, aqi_lag_48h, aqi_rolling_24h, co, hour, rolling_30day_avg, aqi_change_rate"
48,6,0.17738602356567734,"day_of_week, rolling_30day_std, aqi_rolling_6h, o3, pm2_5_lag_72h, pm10, pressure, pm2_5_lag_48h, pm2_5, is_weekend, no2, wind_speed, temperature, so2, aqi_lag_48h, aqi_rolling_24h, co, hour, rolling_30day_avg, aqi_change_rate"
