horizon,feature,mean_abs_shap
24,aqi,8.036813086671701
24,aqi_lag_24h,4.645909211351793
24,month,3.184580384355308
24,pm2_5_lag_24h,3.088543978326004
24,humidity,3.0093911023445883
24,pm10,2.4178621699048537
24,pm2_5_lag_48h,2.0772016708724803
24,aqi_lag_72h,1.6667578297849885
24,aqi_rolling_6h,1.6194347296047458
24,aqi_lag_48h,1.6021690482125004
24,o3,1.4553019594583267
24,no2,1.3955482551307112
24,day_of_week,1.345528540768579
24,pm2_5_lag_72h,1.2980129205692612
24,rolling_30day_std,1.2376027220105723
24,temperature,1.1895571774864495
24,so2,0.8695178547428711
24,wind_speed,0.726561303434692
24,is_weekend,0.6074825021506418
24,hour,0.44663861121800236
24,pressure,0.36583931672477654
24,co,0.25770334735657624
24,aqi_rolling_24h,0.20397082233587355
24,aqi_change_rate,0.11500618027464382
24,rolling_30day_avg,0.07732859125568146
24,pm2_5,0.07626258440172834
48,aqi,8.199298311572166
48,month,4.32235713271002
48,pm2_5,2.430114531562032
48,day_of_week,1.9485481129826616
48,aqi_lag_72h,1.6618294930956534
48,humidity,1.3716198462780718
48,aqi_rolling_6h,1.3424325708926046
48,pressure,1.3049940352783016
48,pm10,1.193290701433855
48,rolling_30day_std,1.1918209372066657
48,no2,1.1410553656278555
48,pm2_5_lag_24h,0.9669510285336396
48,is_weekend,0.6475212353393384
48,o3,0.6097980063845815
48,so2,0.59792894448455
48,aqi_lag_48h,0.43315045910932815
48,wind_speed,0.40970494603128677
48,temperature,0.3713686486305756
48,pm2_5_lag_72h,0.30443124007789946
48,aqi_rolling_24h,0.27319295759700857
48,co,0.2268009867667178
48,pm2_5_lag_48h,0.21060944374730678
48,hour,0.15746038462839443
48,aqi_lag_24h,0.06369687060195188
48,aqi_change_rate,0.046895451364338446
48,rolling_30day_avg,0.038228730136737867
72,month,6.4762316717283905
72,aqi,3.9833616800680414
72,aqi_lag_72h,2.6612875583449895
72,pm2_5_lag_72h,2.609209420948605
72,rolling_30day_std,2.3185479982981074
72,o3,2.1763621160333932
72,pressure,2.0732255761139484
72,aqi_lag_24h,1.9233552670079987
72,is_weekend,1.900235195044078
72,day_of_week,1.6856296821912664
72,wind_speed,1.4570925683355205
72,pm2_5_lag_48h,1.315218980104386
72,aqi_rolling_6h,1.3090465144427408
72,aqi_rolling_24h,1.2029159220570034
72,co,1.0825325228228542
72,pm2_5_lag_24h,1.0726935592632931
72,pm2_5,0.848103220191706
72,humidity,0.8125694850438879
72,temperature,0.7696050852694525
72,so2,0.7504790861826043
72,hour,0.5590365782258058
72,rolling_30day_avg,0.5016417212169544
72,pm10,0.4735226154073189
72,aqi_change_rate,0.2494278090376145
72,no2,0.21526450351225693
72,aqi_lag_48h,0.16064082293526538
